Shift,Worker,Product Produced,Amount Produced,Working Time (Minutes)
3,310777,Mouse,24,29
3,310458,Hard Drive,23,28
3,310777,Mouse,22,27
3,310076,Monitor,19,28
3,310777,Keyboard,23,25
3,310234,Monitor,22,29
3,310458,Keyboard,19,28
3,310458,Mouse,23,27
3,310234,Hard Drive,24,29
3,310777,Monitor,25,25
3,310777,Mouse,24,29
3,310234,Mouse,23,28
3,310458,Hard Drive,22,30
3,310777,Keyboard,19,28
3,310076,Keyboard,23,27
3,310458,Mouse,22,30
3,310777,Monitor,21,29
3,310076,Hard Drive,20,28
3,310234,Mouse,19,27
3,310458,Hard Drive,18,31
3,310777,Mouse,21,30
3,310234,Monitor,23,27
3,310076,Keyboard,24,26
3,310777,Monitor,24,25
3,310458,Keyboard,16,28
3,310076,Mouse,18,27
3,310777,Hard Drive,20,29
3,310234,Monitor,19,27
3,310234,Mouse,17,26
3,310777,Mouse,20,28
3,310076,Hard Drive,19,25
3,310458,Keyboard,18,29
3,310234,Keyboard,18,28
3,310777,Mouse,24,27
3,310777,Monitor,19,29
3,310777,Hard Drive,18,25
3,310458,Hard Drive,19,29
3,310076,Monitor,22,28
3,310777,Mouse,24,30
3,310234,Mouse,22,28
3,310234,Hard Drive,19,27
3,310777,Keyboard,17,30
3,310458,Keyboard,19,29
3,310777,Mouse,22,28
3,310076,Monitor,24,27
3,310777,Hard Drive,16,31
3,310234,Mouse,18,30
3,310458,Hard Drive,11,27
3,310458,Mouse,15,26
3,310234,Monitor,20,25
3,310777,Keyboard,14,28
3,310777,Monitor,19,29
3,310234,Keyboard,14,28
3,310458,Mouse,10,27
3,310777,Hard Drive,22,28
3,310076,Mouse,19,25
3,310458,Hard Drive,17,29
3,310777,Mouse,19,28
3,310076,Monitor,19,27
3,310234,Keyboard,19,29
3,310458,Monitor,23,25
3,310777,Keyboard,24,29
3,310234,Mouse,25,28
3,310076,Hard Drive,24,30
3,310777,Monitor,23,28
3,310458,Mouse,22,27
3,310076,Mouse,19,30
3,310777,Hard Drive,23,29
3,310234,Keyboard,22,28
3,310234,Keyboard,22,27
3,310777,Mouse,19,31
3,310076,Monitor,17,30
3,310458,Hard Drive,19,27
3,310234,Mouse,22,26
3,310777,Hard Drive,24,25
3,310777,Mouse,16,28
3,310777,Monitor,18,27
3,310458,Keyboard,11,29
3,310076,Monitor,15,27
3,310777,Keyboard,20,26
3,310234,Mouse,14,28
3,310234,Hard Drive,19,25
3,310777,Monitor,14,29
3,310458,Mouse,10,28
3,310777,Mouse,22,27
3,310076,Hard Drive,19,29
3,310777,Keyboard,17,25
3,310234,Keyboard,19,29
3,310458,Mouse,22,28
3,310458,Monitor,19,30
3,310234,Hard Drive,17,28
3,310777,Hard Drive,19,27
3,310777,Monitor,22,30
3,310234,Mouse,24,29
3,310458,Mouse,16,28
3,310777,Hard Drive,18,27
3,310076,Keyboard,11,31
3,310458,Keyboard,15,30
3,310777,Mouse,20,27
3,310076,Monitor,14,26
3,310234,Hard Drive,19,25
3,310458,Mouse,14,28
3,310777,Hard Drive,10,23
3,310234,Mouse,22,24
3,310076,Monitor,19,29
3,310777,Keyboard,17,28
3,310458,Monitor,19,28
3,310076,Keyboard,23,29
3,310777,Mouse,24,30
3,310234,Hard Drive,25,27
3,310234,Mouse,24,26
3,310777,Hard Drive,23,28
3,310076,Mouse,22,29
3,310458,Monitor,19,31
3,310234,Keyboard,23,20
3,310777,Monitor,22,22
3,310777,Keyboard,21,21
3,310777,Mouse,20,25
3,310458,Hard Drive,19,24
3,310076,Monitor,18,28
3,310777,Mouse,21,27
3,310234,Mouse,23,30
3,310234,Hard Drive,24,30
3,310777,Keyboard,21,31
3,310458,Keyboard,20,28
3,310777,Mouse,19,29
3,310076,Monitor,18,25
3,310777,Hard Drive,23,24
3,310234,Mouse,22,22
3,310458,Hard Drive,21,21
3,310458,Mouse,24,20
3,310234,Monitor,23,20
3,310777,Keyboard,24,29
3,310777,Monitor,24,31
3,310234,Keyboard,19,30
3,310458,Mouse,25,26
3,310777,Hard Drive,24,29
3,310076,Monitor,23,27
3,310458,Mouse,22,29
3,310777,Mouse,19,25
3,310076,Hard Drive,23,24
3,310234,Keyboard,22,24
3,310458,Keyboard,21,26
3,310777,Mouse,20,27
3,310234,Monitor,19,22
3,310076,Hard Drive,18,24
3,310777,Hard Drive,21,25
3,310458,Monitor,23,23
3,310076,Mouse,24,26
3,310777,Mouse,21,27
3,310234,Hard Drive,20,23
3,310234,Keyboard,19,24
3,310777,Keyboard,18,29
3,310076,Mouse,23,28
3,310458,Monitor,22,28
3,310234,Hard Drive,23,23
3,310777,Mouse,24,24
3,310777,Hard Drive,25,29
3,310777,Mouse,24,28
3,310458,Monitor,23,28
3,310076,Keyboard,22,29
3,310777,Monitor,19,30
3,310234,Keyboard,23,27
3,310234,Mouse,22,26
3,310777,Hard Drive,21,28
3,310458,Mouse,20,29
3,310777,Hard Drive,19,31
3,310076,Mouse,18,20
3,310777,Monitor,21,22
3,310234,Keyboard,23,21
3,310458,Monitor,24,25
3,310458,Keyboard,21,24
3,310234,Mouse,20,28
3,310777,Hard Drive,19,27
3,310777,Monitor,18,30
3,310234,Mouse,23,30
3,310458,Mouse,22,31
3,310777,Hard Drive,21,28
3,310076,Keyboard,24,29
3,310458,Keyboard,23,25
3,310777,Mouse,24,24
3,310076,Monitor,24,22
3,310234,Hard Drive,19,21
3,310458,Mouse,25,20
3,310777,Hard Drive,24,20
3,310234,Mouse,23,29
3,310076,Monitor,22,31
3,310777,Keyboard,19,30
3,310458,Monitor,23,26
3,310076,Keyboard,22,29
3,310777,Mouse,21,27
3,310234,Hard Drive,20,29
3,310234,Monitor,19,25
3,310777,Mouse,18,24
3,310076,Mouse,21,24
3,310458,Hard Drive,23,26
3,310234,Keyboard,24,27
3,310777,Keyboard,21,22
3,310777,Mouse,20,24
3,310777,Monitor,19,25
3,310458,Hard Drive,18,23
3,310076,Hard Drive,23,26
3,310777,Monitor,22,27
3,310234,Mouse,23,23
3,310234,Mouse,24,24
3,310234,Hard Drive,25,29
3,310234,Keyboard,24,28
3,310777,Keyboard,23,28
3,310076,Mouse,22,24
3,310458,Monitor,19,25
3,310234,Hard Drive,23,23
3,310777,Mouse,22,26
3,310458,Hard Drive,21,27
3,310777,Mouse,20,23
3,310458,Monitor,19,24
3,310458,Keyboard,18,29
